no_recibo,producto_id,tienda_id,cantidad
0000000126,2116050101,3,4
0000000127,458147,5,7
0000000128,265325,5,6
0000000129,267501,4,10
0000000129,284296,5,5
0000000130,284572,5,6
0000000131,284402,2,9
0000000132,2912020003,2,6
0000000133,2662A7,4,4
0000000134,2663A7,3,4
0000000134,267107,2,4
0000000135,2213013691,3,8
0000000136,26558J,1,4
0000000137,2211010301,1,3
0000000138,8008,2,6
0000000139,2914010004,2,4
0000000140,2702AW,5,8
0000000141,2115050201,2,5
0000000142,26524F,5,1
0000000142,270203,1,9
0000000143,465281,4,9
0000000144,2115030301,5,4
0000000145,2115020691,5,6
0000000145,2147021601,2,1
0000000145,270103,4,5
0000000146,2126030491,2,1
0000000146,2911020003,5,4
0000000147,26522A,1,2
0000000147,270193,1,10
0000000148,2146020491,4,5
0000000149,2145020301,2,7
0000000150,2117023601,5,10
0000000150,26556N,1,10
0000000150,270304,5,9
0000000150,2703AN,4,2
0000000151,270124,2,1
0000000152,2844B8,3,6
0000000153,26527G,4,3
0000000154,2701A3,2,1
0000000155,4126041201,5,4
0000000156,270263,2,7
0000000156,2702AE,5,4
0000000157,284107,5,4
0000000158,267325,4,9
0000000158,284402,2,3
0000000159,270188,5,2
0000000160,270126,2,4
0000000160,2701AV,2,9
0000000161,2914210009,4,1
0000000162,2132010906,3,8
0000000163,284294,5,9
0000000163,284595,5,5
0000000164,270118,2,4
0000000165,276DKV,2,6
0000000166,267321,3,8
0000000167,2843A2,4,6
0000000167,2911020003,5,6
0000000167,4137050201,1,9
0000000167,458396,2,9
0000000168,2914020013,5,4
0000000169,4914010001,2,1
0000000170,4126040201,2,4
0000000171,458446,2,6
0000000172,2125020301,5,2
0000000173,270153,1,7
0000000174,2126030701,4,6
0000000175,2124020101,1,5
0000000175,265128,2,10
0000000176,2211010301,2,7
0000000176,2415070102,1,1
0000000176,270238,2,9
0000000177,284499,4,9
0000000178,276EDL,2,5
0000000179,267045,5,6
0000000180,2147020801,1,8
0000000180,284372,5,4
0000000181,2702AL,2,3
0000000182,2124023301,1,4
0000000182,267480,1,4
0000000183,2701AY,1,3
0000000184,2945000103,1,7
0000000185,2125041401,1,6
0000000185,266220,3,6
0000000186,26527G,4,10
0000000187,267541,3,7
0000000188,270245,3,10
0000000189,2701B4,3,8
0000000189,458350,2,2
0000000190,2911020003,2,1
0000000191,267041,4,3
0000000191,267591,3,4
0000000192,26527H,3,4
0000000193,265481,3,10
0000000194,2703AR,2,6
0000000195,270162,2,5
0000000195,8011,3,10
0000000196,2144020101,4,8
0000000197,2662A7,1,7
0000000198,2115030301,3,5
0000000198,2703BG,1,1
0000000199,2115030891,1,7
0000000199,270230,4,8
0000000200,418102,2,2
0000000201,267321,5,10
0000000202,284395,4,10
0000000203,2125020591,2,8
0000000203,2844A4,2,6
0000000204,2147020301,3,5
0000000205,2844A4,1,9
0000000206,2842C1,5,3
0000000207,2144020201,4,2
0000000207,2915020004,1,5
0000000207,2917020006,3,2
0000000207,296002,5,1
0000000208,2147020401,3,9
0000000209,2703AY,1,4
0000000210,458399,2,6
0000000211,270161,3,4
0000000212,265228,1,9
0000000213,284196,4,7
0000000214,2125020101,1,3
0000000214,26522D,2,4
0000000215,2125040901,2,2
0000000215,284551,5,5
0000000216,284291,4,3
0000000217,2111023701,2,4
0000000217,284126,2,1
0000000218,270263,2,7
0000000218,276KCU,3,9
0000000219,284350,3,2
0000000219,458325,3,5
0000000220,2665AK,1,6
0000000220,284196,4,3
0000000221,2124022401,1,4
0000000222,265226,1,8
0000000222,2844B5,5,8
0000000223,2702AK,5,9
0000000224,465262,1,4
0000000225,2665A4,4,6
0000000226,270179,4,3
0000000226,284302,4,8
0000000227,2137020101,4,7
0000000228,2662A3,3,3
0000000228,2701B8,1,4
0000000229,265527,2,3
0000000230,266520,2,3
0000000231,2127041101,1,7
0000000232,2911020002,3,3
0000000233,2844B6,1,1
0000000234,26552D,4,9
0000000235,2701AN,2,3
0000000236,2144020401,3,5
0000000236,270349,3,8
0000000236,2842C9,5,4
0000000237,26528J,3,3
0000000237,2917020005,2,1
0000000238,284344,4,4
0000000239,2915020090,3,4
0000000240,2702AG,5,2
0000000241,2702BG,3,2
0000000242,2127040901,1,5
0000000243,284450,5,3
0000000244,2135021901,3,1
0000000245,265227,5,6
0000000246,270361,1,7
0000000247,4916040007,4,3
0000000248,26554G,3,7
0000000249,458146,5,1
0000000250,266220,4,5
0000000250,284312,5,2
0000000251,2112030601,1,2
0000000251,266447,3,2
0000000252,265222,2,1
0000000253,270346,1,2
0000000253,270363,5,4
0000000254,270211,4,6
0000000255,284440,5,2
0000000256,2702A3,2,5
0000000257,266547,1,4
0000000258,266146,5,10
0000000259,2125024001,2,6
0000000260,267196,5,6
0000000260,267392,4,5
0000000261,2115020501,4,1
0000000261,284362,3,10
0000000262,2116021701,5,8
0000000262,458297,3,8
0000000263,266274,4,1
0000000264,26527H,5,3
0000000264,2843S1,2,10
0000000265,2701AN,1,5
0000000265,284324,4,5
0000000266,265224,5,5
0000000267,270137,2,4
0000000267,2703A5,2,5
0000000267,2845A8,2,3
0000000267,458295,5,8
0000000268,26528J,1,8
0000000268,284247,5,7
0000000269,2845C7,2,2
0000000270,2703AQ,3,9
0000000271,270107,2,8
0000000272,2144022601,4,5
0000000272,2701B4,3,7
0000000273,2703AF,5,8
0000000274,270165,5,4
0000000275,2845B3,2,1
0000000276,284206,5,4
0000000277,26522C,1,10
0000000277,270251,1,1
0000000277,418101,3,8
0000000278,2845A8,2,8
0000000279,284151,4,6
0000000280,2144022301,3,9
0000000281,2132023703,2,7
0000000282,2842A3,5,1
0000000283,26524I,3,10
0000000284,2211010301,2,5
0000000284,26527G,1,7
0000000285,2702AF,2,6
0000000285,2703AM,4,5
0000000286,276FDN,2,2
0000000287,270326,5,5
0000000288,2703C1,3,1
0000000288,2844S4,1,10
0000000289,284344,3,10
0000000290,2845C8,2,7
0000000291,26558J,5,10
0000000292,2845B6,4,4
0000000292,2914020092,4,8
0000000293,26527G,4,9
0000000294,2211012401,1,1
0000000295,2132023703,4,5
0000000296,266520,5,9
0000000296,2703AW,5,7
0000000297,26522E,3,7
0000000298,2702BE,1,5
0000000298,286594,2,2
0000000299,2701B2,3,2
0000000299,270360,5,2
0000000300,267480,1,5
0000000300,284217,2,7
0000000301,2845080002,2,6
0000000302,284106,1,10
0000000303,2702AF,2,7
0000000303,284472,4,6
0000000304,2116050201,5,2
0000000305,26552C,1,6
0000000305,26554G,4,2
0000000306,267296,3,4
0000000306,270110,3,3
0000000306,2701AN,3,6
0000000307,270328,4,5
0000000307,2917020006,3,1
0000000308,2663A4,3,4
0000000308,458433,4,7
0000000308,458446,1,8
0000000309,2845B3,2,2
0000000310,270176,2,8
0000000310,458524,4,8
0000000311,2125040901,4,2
0000000312,2701A9,4,6
0000000313,2844B1,3,6
0000000314,2114021201,2,10
0000000315,284372,4,7
0000000316,270268,3,1
0000000317,26514F,1,2
0000000317,2702B3,3,8
0000000318,2845A8,2,1
0000000319,465281,4,8
0000000320,26528J,3,2
0000000321,2845B2,2,8
0000000322,2768IQ,3,4
0000000322,2844A6,4,9
0000000323,2703AN,3,9
0000000324,26522A,4,9
0000000324,284252,3,1
0000000325,265122,3,3
0000000326,270127,4,5
0000000327,2115020401,5,3
0000000327,284373,5,8
0000000328,270393,1,1
0000000329,2415000119,3,4
0000000330,270149,3,8
0000000331,2126040791,1,9
0000000331,26524F,5,4
0000000331,265428,5,1
0000000331,266146,5,5
0000000331,284302,4,1
0000000332,276GDS,1,5
0000000332,2915020007,2,4
0000000333,2845S5,5,2
0000000334,265122,3,3
0000000335,270339,1,7
0000000336,26544G,2,7
0000000337,270344,4,7
0000000337,270363,4,10
0000000337,2843C2,3,1
0000000338,270361,4,9
0000000339,26552E,3,3
0000000340,2112020601,2,2
0000000341,26552E,1,2
0000000342,270199,4,7
0000000342,2702BG,4,6
0000000343,2701AN,2,3
0000000343,284126,1,8
0000000344,267249,4,9
0000000344,267321,1,4
0000000345,2115030301,1,9
0000000345,270223,2,10
0000000346,270206,2,10
0000000347,2843C8,5,6
0000000348,2114021191,2,3
0000000348,2842A1,2,9
0000000348,4916040017,4,5
0000000349,270360,5,1
0000000350,458523,4,5
0000000351,284302,5,2
0000000352,267496,4,7
0000000353,2845S5,5,8
0000000354,2702AX,1,8
0000000355,2415000119,1,7
0000000356,266532,2,6
0000000357,2843A2,1,2
0000000358,2702C5,4,4
0000000358,458523,4,4
0000000359,2415000107,3,1
0000000360,2114020801,4,7
0000000360,2114022201,3,1
0000000361,284203,4,2
0000000362,218310,4,10
0000000363,284405,1,4
0000000364,267148,1,2
0000000365,265321,1,9
0000000366,270326,4,6
0000000367,2127041001,1,9
0000000368,2765TU,1,7
0000000369,284109,4,5
0000000370,2701AQ,3,2
0000000371,2124030491,1,5
0000000372,284141,2,5
0000000373,418001,5,5
0000000373,467501,3,9
0000000374,2842B6,4,9
0000000375,265322,2,8
0000000376,284146,2,4
0000000377,265428,1,2
0000000378,270150,1,4
0000000378,270253,2,10
0000000379,270253,4,4
0000000380,267021,2,7
0000000381,2915010019,5,9
0000000382,2125040301,4,3
0000000383,284307,5,2
0000000384,2126023191,4,5
0000000385,270141,1,3
0000000386,265527,1,10
0000000386,2843S2,4,10
0000000387,266546,2,5
0000000388,266232,3,7
0000000389,2213010301,1,1
0000000390,2115023601,2,10
0000000390,270307,2,2
0000000390,286ECD,2,10
0000000391,2125040101,2,8
0000000392,2843A7,3,6
0000000393,267108,3,9
0000000393,270153,2,3
0000000394,2147020801,4,8
0000000395,4127040401,1,3
0000000396,2917020005,3,8
0000000397,266474,3,9
0000000398,2147020201,3,2
0000000399,2116024891,1,9
0000000399,267473,3,5
0000000400,2112030801,5,2
0000000400,2703AR,5,4
0000000401,8011,3,7
0000000402,2125040901,2,3
0000000402,2701AF,4,7
0000000402,270353,5,6
0000000403,270271,5,6
0000000404,458350,1,10
0000000405,267347,5,3
0000000405,270251,1,3
0000000406,2844C7,3,4
0000000407,2126030201,4,6
0000000408,2115030391,1,10
0000000408,2842A7,3,2
0000000409,267246,3,3
0000000410,2702BF,3,6
0000000411,266247,3,4
0000000412,2126024801,5,9
0000000413,2115031091,4,10
0000000414,267294,5,5
0000000414,2844B6,1,5
0000000415,2702AF,4,3
0000000416,2843A7,3,7
0000000416,2911020003,3,3
0000000417,2701BD,3,1
0000000418,2127022401,1,9
0000000419,2114021201,2,9
0000000420,213006,3,4
0000000420,2701AM,4,8
0000000421,2702AZ,2,2
0000000421,284572,5,5
0000000422,284240,3,10
0000000422,4916040011,2,10
0000000423,266547,5,1
0000000424,267556,2,1
0000000425,400101,4,1
0000000426,2144022301,3,10
0000000427,267545,4,6
0000000428,2117050201,4,7
0000000429,26513D,3,3
0000000430,4917040092,1,6
0000000431,2126030201,1,3
0000000431,270107,2,7
0000000432,270199,1,10
0000000433,2415000119,1,3
0000000434,458438,5,9
0000000435,2843S1,4,6
0000000436,2915020004,1,7
0000000437,284108,3,7
0000000438,2703AY,5,10
0000000439,265A29,2,4
0000000439,2703AG,5,10
0000000440,2702A5,2,6
0000000441,267045,1,1
0000000441,284402,2,3
0000000442,2116050101,1,8
0000000442,2842B6,4,1
0000000443,2415000107,2,9
0000000443,458305,2,3
0000000444,284101,3,5
0000000445,2842C4,2,2
0000000446,2116020401,3,8
0000000447,458321,2,4
0000000448,276GDS,3,9
0000000449,2703B5,2,4
0000000450,265224,5,7
0000000451,267496,1,2
0000000451,284547,5,10
0000000452,26516K,3,2
0000000453,265323,1,8
0000000453,267421,3,6
0000000453,284396,4,6
0000000454,465261,5,3
0000000455,265428,3,1
0000000455,2842A3,5,1
0000000456,26516K0002,3,2
0000000456,2842B6,4,3
0000000456,284524,5,5
0000000457,2125041401,5,8
0000000457,267325,4,3
0000000458,2146020301,1,1
0000000458,267153,3,3
0000000458,458348,1,1
0000000459,284040,5,8
0000000460,2125040801,3,10
0000000461,265228,4,2
0000000461,284450,4,3
0000000462,284495,2,4
0000000463,284223,5,7
0000000464,4126041201,2,2
0000000465,2126040891,2,7
0000000465,270294,2,3
0000000466,2702AN,5,5
0000000467,267245,2,8
0000000467,284274,3,6
0000000468,2842620002,2,3
0000000469,270190,5,2
0000000470,2211014101,4,9
0000000470,267549,4,4
0000000471,26534G,4,2
0000000472,270262,2,3
0000000473,270381,3,9
0000000474,270127,4,4
0000000475,2701AF,1,4
0000000476,2702A6,5,6
0000000477,2917020006,2,3
0000000478,270247,5,6
0000000479,2701AE,1,6
0000000480,2125040791,3,10
0000000480,270208,1,8
0000000481,2845B2,2,2
0000000482,270126,4,5
0000000483,284196,2,10
0000000484,270326,1,2
0000000485,2112030601,1,8
0000000486,2115031101,2,10
0000000487,2702AM,4,4
0000000488,2114020401,1,8
0000000488,265A29,4,2
0000000489,2915010015,2,7
0000000490,2125024001,1,4
0000000491,266347,1,8
0000000492,466401,3,1
0000000493,2144022301,1,5
0000000493,267046,3,5
0000000494,2911020003,2,10
0000000495,265321,3,3
0000000496,265529,1,5
0000000497,2917010006,5,2
0000000498,265221,3,4
0000000498,267139,5,8
0000000499,267174,5,7
0000000499,270110,5,5
0000000500,26527G,1,5
0000000500,266417,2,7
0000000501,2132020101,4,8
0000000502,2843A5,3,10
0000000503,2131010901,4,3
0000000503,270103,2,9
0000000504,2702B5,1,3
0000000504,2916020005,1,4
0000000505,26554G,1,9
0000000506,270144,4,6
0000000507,270228,4,1
0000000507,284594,5,10
0000000508,2116021101,1,7
0000000509,465262,4,4
0000000510,284207,5,6
0000000511,2917020098,3,9
0000000512,2843A5,3,2
0000000513,400201,4,7
0000000514,2703AG,5,1
0000000515,2125041101,3,3
0000000516,213006,3,5
0000000516,265125,2,9
0000000516,267042,5,4
0000000517,2662A3,1,6
0000000518,2915010021,1,4
0000000519,2917020005,1,2
0000000520,26544F,5,8
0000000521,2117020701,3,2
0000000522,267047,5,10
0000000523,2665A4,4,8
0000000524,265322,1,1
0000000525,26542D,4,7
0000000526,2112030601,3,6
0000000527,2125050201,2,8
0000000527,286G010001,3,10
0000000528,276FDH,5,5
0000000529,2702AZ,1,10
0000000530,2845S3,5,9
0000000531,26532B,5,10
0000000531,270290,4,9
0000000531,2703AL,2,10
0000000532,2147022601,4,8
0000000533,270260,5,5
0000000534,270218,2,5
0000000535,266517,3,7
0000000535,270326,4,3
0000000536,2126023191,3,3
0000000537,2662A3,1,3
0000000538,265527,1,9
0000000538,2664A4,2,5
0000000539,284573,3,6
0000000539,2916010002,3,3
0000000540,270270,1,9
0000000541,2415070102,4,6
0000000542,2126030201,5,7
0000000542,2865F4,2,9
0000000543,2702AP,3,10
0000000544,2115050101,3,3
0000000545,4915040004,1,3
0000000546,284316,2,2
0000000547,26544G,1,10
0000000548,2912010003,4,7
0000000549,418005,5,7
0000000550,2125024001,2,6
0000000551,2703AN,1,7
0000000552,267148,1,3
0000000553,266046,1,10
0000000554,2842C8,2,6
0000000555,458101,4,3
0000000556,284346,4,2
0000000557,267042,5,3
0000000557,284526,4,2
0000000558,270151,1,6
0000000559,270206,5,4
0000000560,26544G,5,10
0000000561,26554G,1,10
0000000562,284341,3,1
0000000563,2703BP,1,1
0000000564,267178,5,7
0000000565,284548,5,7
0000000566,26552D,3,3
0000000566,2703AN,4,2
0000000567,284526,4,1
0000000568,2917010001,1,3
0000000569,26552D,4,2
0000000569,266517,5,9
0000000570,2147020401,1,6
0000000571,2845960002,2,9
0000000572,267534,5,9
0000000573,2212010301,3,3
0000000574,267556,2,7
0000000574,2844A5,3,5
0000000574,2915020012,1,5
0000000575,2135020101,3,2
0000000575,2844B5,3,4
0000000575,2911020003,4,8
0000000576,2117020401,1,2
0000000576,270210,3,6
0000000576,270262,2,8
0000000577,270390,2,5
0000000578,2844B5,2,6
0000000579,26548J,5,8
0000000580,2114021301,2,10
0000000581,26522E,1,2
0000000582,2703C1,3,5
0000000583,2703B5,2,10
0000000583,4137050201,1,6
0000000584,270301,4,10
0000000585,270349,3,8
0000000586,2127023101,1,3
0000000587,265229,4,4
0000000588,2117020501,1,3
0000000589,2916010007,3,9
0000000590,276DKV,2,8
0000000591,2415000119,2,7
0000000592,2114020401,1,4
0000000592,4137050201,3,5
0000000593,284218,2,10
0000000594,270217,5,8
0000000594,284405,1,6
0000000594,286594,5,3
0000000595,2702AL,2,10
0000000595,2914010011,3,2
0000000596,4916040011,5,5
0000000597,267434,2,1
0000000598,26534F,2,8
0000000598,270336,2,6
0000000599,2115030101,4,8
0000000599,2702AP,3,2
0000000600,2945000103,3,2
0000000601,2115020691,2,5
0000000601,2701BL,4,6
0000000602,2865B4,5,3
0000000603,2701B7,1,9
0000000604,270176,2,4
0000000605,2662A4,5,2
0000000605,286878,2,8
0000000606,2117011301,4,6
0000000607,2147020301,2,3
0000000607,26558J,2,9
0000000608,265528,5,4
0000000608,2916020010,1,4
0000000609,2213013201,2,5
0000000610,2125023401,3,4
0000000610,2147022301,5,9
0000000611,267148,4,2
0000000611,2843S1,5,6
0000000612,458302,5,10
0000000613,26526N,1,8
0000000613,2911020003,1,9
0000000614,2126023191,3,1
0000000615,2127023401,1,7
0000000616,2213013201,2,8
0000000616,2844C1,1,5
0000000617,26516K,1,5
0000000618,2112030801,1,2
0000000618,2844C4,3,6
0000000619,284127,5,1
0000000620,266246,2,2
0000000621,2147022301,4,7
0000000622,2115030891,1,2
0000000622,465281,2,8
0000000623,2126020191,4,5
0000000624,26522B,2,1
0000000625,2116020501,2,8
0000000626,2124030201,1,6
0000000627,2117023601,5,1
0000000627,2125022191,4,6
0000000628,2144020401,1,3
0000000628,270376,4,8
0000000629,270141,1,10
0000000630,2144020391,2,2
0000000630,2841C4,5,4
0000000631,2845A1,2,4
0000000632,267178,1,10
0000000633,270337,2,3
0000000634,284521,5,9
0000000635,267342,3,1
0000000636,2126041001,1,3
0000000636,270161,1,2
0000000637,2842A7,3,9
0000000638,2126030201,3,9
0000000638,267196,5,10
0000000638,270220,4,5
0000000639,2945000103,5,7
0000000640,286G010001,3,1
0000000641,267448,4,1
0000000642,267145,3,9
0000000643,2415000119,2,5
0000000643,265A2C,4,4
0000000644,267321,2,7
0000000645,2415000121,1,6
0000000645,270110,1,10
0000000646,2845A4,2,5
0000000647,265224,4,6
0000000647,284206,5,10
0000000648,2703BC,3,2
0000000649,265327,3,4
0000000650,2146020101,1,6
0000000651,270306,3,7
0000000652,270199,3,4
0000000653,265229,5,7
0000000653,2916030002,4,8
0000000654,2147020101,4,10
0000000655,458526,4,2
0000000656,2767JU,3,1
0000000657,265222,3,4
0000000658,2703A6,5,4
0000000659,2702BF,3,4
0000000660,286022,4,5
0000000661,2124023401,1,2
0000000662,267480,1,5
0000000663,2916010008,5,9
0000000664,2867II,2,7
0000000665,26522A,5,4
0000000665,267021,2,8
0000000666,2144021691,4,9
0000000666,270380,5,8
0000000667,270303,1,1
0000000668,2125050201,2,7
0000000669,2914020092,4,4
0000000670,2124023201,1,2
0000000671,2115023601,3,4
0000000672,270261,1,9
0000000672,270314,2,1
0000000673,284450,5,3
0000000674,2126023191,5,6
0000000675,276EDL,4,1
0000000676,2112020401,2,9
0000000677,2703AN,2,4
0000000678,2702AF,3,5
0000000678,2703B8,1,3
0000000679,2701BI,3,4
0000000680,286ACD,5,3
0000000681,2702AY,5,3
0000000682,26516K0002,3,6
0000000683,2911010001,3,2
0000000684,267196,4,7
0000000685,2914030002,3,1
0000000686,2212013801,3,10
0000000686,267121,5,1
0000000686,276GDS,4,10
0000000687,270165,1,6
0000000688,2144021691,4,6
0000000689,267447,1,4
0000000689,2701BG,4,8
0000000690,284272,5,1
0000000691,276DCV,2,7
0000000692,284344,3,7
0000000693,2701AV,5,5
0000000694,270315,5,4
0000000695,2843A4,5,9
0000000696,4127041401,1,8
0000000697,270135,1,5
0000000697,284345,1,2
0000000698,270162,2,9
0000000699,2126041101,1,9
0000000699,270213,3,2
0000000700,284502,4,1
0000000701,2131010901,4,10
0000000702,2114020391,3,10
0000000703,265222,3,2
0000000704,2702B5,3,10
0000000704,2914010097,5,1
0000000705,284373,5,2
0000000706,2843B1,4,9
0000000706,2916020093,1,10
0000000707,267279,3,4
0000000708,26544F,5,3
0000000708,26559M,3,2
0000000709,284496,4,5
0000000709,458296,3,10
0000000710,270191,2,2
0000000711,266217,4,6
0000000712,2114011201,3,1
0000000713,2111011591,1,9
0000000713,2117020391,3,4
0000000713,2701AE,4,7
0000000714,2702AH,3,1
0000000714,2702B5,5,10
0000000715,2125024001,2,8
0000000715,2911020003,3,6
0000000716,2765TU,1,8
0000000717,267496,1,3
0000000718,284346,5,7
0000000719,270108,1,6
0000000720,296002,5,1
0000000721,2702AI,5,4
0000000722,267525,4,4
0000000722,284441,3,1
0000000723,4916040010,5,9
0000000724,2701AY,4,2
0000000725,2116020401,2,9
0000000725,265581,3,7
0000000726,2212014401,4,2
0000000727,270315,5,5
0000000728,284141,2,9
0000000729,267239,5,2
0000000730,284348,4,3
0000000731,26522E,2,6
0000000732,265225,3,6
0000000733,270261,2,4
0000000734,267243,3,9
0000000735,270365,3,7
0000000735,2703B6,3,10
0000000736,2144022301,1,3
0000000737,2914010006,4,8
0000000738,2114020101,2,6
0000000738,270276,1,2
0000000739,265428,2,3
0000000740,26558J,3,10
0000000740,458196,4,7
0000000741,2844C4,5,5
0000000742,286G010001,3,2
0000000743,2665A7,2,1
0000000744,286A0D,5,5
0000000744,2916021801,2,10
0000000745,26512C,5,8
0000000746,2126020201,3,10
0000000746,267042,2,1
0000000746,267101,3,8
0000000747,2665A4,3,3
0000000748,2125020901,2,7
0000000748,418102,2,2
0000000749,2844A4,3,1
0000000750,26552E,1,7
0000000750,284444,2,6
0000000751,270153,2,9
0000000752,2125041101,3,8
0000000752,270144,4,8
0000000753,284318,4,2
0000000753,2843A8,5,4
0000000754,270343,5,1
0000000755,270290,1,4
0000000755,2842B7,5,6
0000000755,284493,4,4
0000000756,270291,2,2
0000000757,2701AA,4,3
0000000757,270399,2,5
0000000758,26542D,4,9
0000000759,2917020005,5,9
0000000760,2862T3,1,1
0000000761,2702C4,4,5
0000000762,270290,2,5
0000000762,2945000005,1,10
0000000763,2212010501,1,6
0000000764,270390,5,3
0000000765,2662A3,5,2
0000000765,2915020007,2,8
0000000766,4126041801,2,1
0000000767,265A29,2,9
0000000768,276FDN,2,8
0000000768,2915010016,2,2
0000000769,267178,1,2
0000000769,458350,1,4
0000000770,270340,4,5
0000000770,2703AW,3,3
0000000771,270118,2,6
0000000771,284309,3,5
0000000772,2415070102,2,2
0000000773,26554G,2,4
0000000774,265225,4,10
0000000775,2127040801,1,6
0000000775,284126,5,3
0000000776,267526,3,3
0000000777,267241,3,7
0000000778,266447,3,2
0000000778,2842C1,5,8
0000000779,26524I,1,4
0000000780,284145,1,5
0000000781,2415000107,4,1
0000000782,270110,2,5
0000000783,2915020017,5,9
0000000783,4916040012,5,8
0000000784,2703AF,3,6
0000000785,2126021001,1,7
0000000786,2701AA,4,4
0000000787,2136011602,5,8
0000000787,2147020301,1,10
0000000787,2662A4,2,7
0000000788,418004,5,8
0000000789,2112030101,2,2
0000000790,213006,1,4
0000000791,2703C2,2,2
0000000792,2702BC,3,10
0000000793,2112021301,3,6
0000000793,2845S5,5,3
0000000794,2703AB,1,5
0000000795,270376,1,9
0000000796,284109,4,8
0000000797,2844A4,2,6
0000000798,2703AC,5,2
0000000798,284241,3,10
0000000799,2434010001,4,8
